sno,title,summary,link,pub_date,topic
10,MX Introduces MXdata For Business,"""The needs and expectations of small businesses have evolved to require more technical product offerings to help them better manage their finances and grow their business,"" said Brett Allred, Chief Product Officer, MX. ""Once they get access to standardized, actionable data, organizations can track and measure performance gaps, identify new areas of investment, and develop profiles for their business customers. As a former small business owner, I know that accurate and insightful financial data is essential to grow a business.",https://www.prnewswire.com/news-releases/mx-introduces-mxdata-for-business-301404229.html,20-10-2021 14:03,news
11,Business courses online: Grow your business skills from home,"Whether you already work in business, want to transition into the field, or aspire to be your own boss, online business courses teach the skills to succeed, which you can learn from the comfort of your own home.Business courses online range from introductory to advanced, designed to accommodate your busy schedule. Taking online business classes also gives you an opportunity to explore the world of business and decide if a degree in the discipline is in your future. Should I take business courses online or pursue an MBA?If you want a quick, flexible, and affordable option for learning business skills, you should take business courses online.",https://www.zdnet.com/article/business-courses-overview/,21-10-2021 18:43,business
12,How supply chain disruptions are affecting Columbia Sportswear's business,"How supply chain disruptions are affecting Columbia Sportswear's business NPR's Michel Martin speaks with Columbia Sportswear CEO Tim Boyle about how recent supply chain issues have challenged his company.

Business How supply chain disruptions are affecting Columbia Sportswear's business How supply chain disruptions are affecting Columbia Sportswear's business Listen · 3:53 3:53 NPR's Michel Martin speaks with Columbia Sportswear CEO Tim Boyle about how recent supply chain issues have challenged his company.",https://www.npr.org/2021/10/17/1046905239/how-supply-chain-disruptions-are-affecting-columbia-sportswears-business,17-10-2021 21:04,news
13,Associate degrees in business administration: What to expect,"Whether you're a high school graduate or working professional, starting your higher education is a major career decision. This business administration associate degree guide explores online and traditional programs, course requirements, and hands-on learning opportunities and internships. It also goes over important soft and hard skills for business leaders seeking career advancement. What is an associate degree in business administration?An associate degree in business administration is the foundation of gaining a global understanding of business fundamentals.",https://www.zdnet.com/article/business-administration-associate/,22-10-2021 00:31,tech
14,Wells Fargo Business Secured Credit Card review 2021,"View now Business credit is difficult to get until a company is well established. In most cases, business founders need to put up their personal assets (and credit score) to get approved for a business line of credit. Entrepreneurs may not want to risk their personal credit for their company -- or may not even be able to, due to poor credit. The Wells Fargo Business Secured Credit Card is one of the few card options available for small businesses wanting to build credit while supplementing cash flow.",https://www.zdnet.com/article/wells-fargo-business-secured-credit-card-review/,21-10-2021 03:00,news
15,5 Important Factors To Consider Before Selling Your Business,"There are many reasons why people might choose to sell a business. Sometimes, they don't have enough time to continue investing, are ready to cash out, or simply have decided to focus on other parts of their life. Even when someone is not quite ready to sell their business today, it's crucial to have a structure in place for doing so and this will greatly improve the day-to-day operations.

It's much more difficult to make substantial changes the further along a business develops, so starting off early on with the proper structure is crucial.",https://www.forbes.com/sites/mikeswigunski/2021/10/22/5-important-factors-to-consider-before-selling-your-business,22-10-2021 14:30,business
16,Everything Marketers Should Know About Facebook Business Suite,"If you're managing social accounts on Facebook, Instagram, or both, you can likely benefit from the management dashboard that is Facebook Business Suite.
This free tool offers some powerful features for professional users. It can't tackle all of your daily social media needs, but it can help a lot. Let's look at how Facebook Business Suite can help your business and when you might need to add other tools into the mix. Bonus: Get a free social media analytics report template that shows you the most important metrics to track for each network.",https://blog.hootsuite.com/?p=295741,19-10-2021 19:00,news
17,"Chase Ink Business Unlimited Review: Good Choice for Simple, 1.5% Cash Back Business Rewards","We want to help you make more informed decisions. Some links on this page — clearly marked — may take you to a partner website and may result in us earning a referral commission. For more information, see How We Make Money.   Terms apply to American Express benefits and offers. Enrollment may be required for some American Express benefits and offers. Visit americanexpress.com to learn more. Ink Business Unlimited® Credit Card Editor's Score: (N/A)Last updated October 22, 2021All reviews are prepared by NextAdvisor staff.",https://time.com/nextadvisor/credit-cards/chase/ink-business-unlimited-credit-card-review/,22-10-2021 10:30,news
18,5 Steps You Can Take to Start a Small Town Business,"Opinions expressed by Entrepreneur contributors are their own. There are many different kinds of entrepreneurs. Some are drawn to a business just because of an innate passion for what they are doing, some are bred into it and others discovered a problem and want to create a solution for that problem in the marketplace. For those who want to start a business in the small-town communities  — how can you make sure you do it right?Related: Who Is an EntrepreneurIdentifying a gap in a small town is as simple as a Google search followed by taking a walk.",https://www.entrepreneur.com/article/380261,16-10-2021 21:00,business
19,Bank of America Launches Business Advantage Unlimited Cash Rewards Card for Entrepreneurs,"CHARLOTTE, N.C., Oct. 21, 2021 /PRNewswire/ -- Bank of America today announced the launch of the Business Advantage Unlimited Cash Rewards card. This new card allows small business owners to earn unlimited 1.5% cash back on all purchases. Cash rewards don't expire, and redemption is simple: small business clients can redeem their cash back for any amount, at any time for statement credits or deposits directly into a Bank of America checking or savings account, or for credit to an eligible Merrill account.",https://www.prnewswire.com/news-releases/bank-of-america-launches-business-advantage-unlimited-cash-rewards-card-for-entrepreneurs-301405640.html,21-10-2021 13:00,finance
20,Bank of America Launches Business Advantage Unlimited Cash Rewards Card for Entrepreneurs,"Preferred Rewards for Business Members Earn 25% to 75% More Cash Back on Every Purchase; New Payments and Invoicing Solution also among Latest Innovations for Small Business Clients

CHARLOTTE, N.C., Oct. 21, 2021 /PRNewswire/ -- Bank of America today announced the launch of the Business Advantage Unlimited Cash Rewards card. This new card allows small business owners to earn unlimited 1.5% cash back on all purchases. Cash rewards don't expire, and redemption is simple: small business clients can redeem their cash back for any amount, at any time for statement credits or deposits directly into a Bank of America checking or savings account, or for credit to an eligible Merrill account.",https://finance.yahoo.com/news/bank-america-launches-business-advantage-130000420.html,21-10-2021 13:00,finance
21,Best Startup Business Loans Ultimate Guide 2021,"Getting a small business loan can be challenging if your company doesn't have an established history of success. However, there are several types of startup loans that are suited to a range of needs and qualifications.
Online Term Loans
Term loans are typically available through traditional banks and online lenders; however, banks may require more qualification requirements than online lenders. Term loans from online lenders generally have maximum limits between $250,000 and $500,000, but newly established startups likely won't qualify for loan amounts that high.",https://www.forbes.com/advisor/business-loans/best-startup-business-loans/,20-10-2021 16:07,news
22,Bank of America Business Advantage Customized Cash Rewards credit card review,"Gig workers, freelancers, small business owners and anyone starting a business should consider having a business credit card to separate their personal expenses from company-related ones. This Bank of America Business Advantage Customized Cash Rewards credit card review explores the card as an option.Even if you don't have established business credit, you could apply and get a business credit card using your personal credit. The Bank of America Business Advantage Customized Cash Rewards credit card could earn you the most cash back when the bulk of your company spending occurs in one type of category.",https://www.zdnet.com/article/bank-of-america-business-advantage-customized-cash-rewards-card-review/,21-10-2021 01:00,tech
23,The Cost & Importance of Small Business Insurance,"No matter the industry, small businesses need to protect their work and assets. While small business insurance can seem like a burden, it's an important part of doing business. But how much should you be paying for business insurance? And how can you be sure your investments are properly protecting you?

Your small business insurance costs will vary based on factors like your preferred type of coverage and industry. If you're searching for small business insurance, knowing some common prices for your line of work can help you navigate the various quotes you receive to choose the best policy and company for you.",https://blog.hubspot.com/sales/small-business-insurance-cost,22-10-2021 11:00,business
24,"Gartner Survey of Over 2,000 CIOs Reveals the Need for Enterprises to Embrace Business Composability in 2022","October 18, 2021 02:00 PM Eastern Daylight Time STAMFORD, Conn.--(BUSINESS WIRE)--Enterprises must embrace business composability to thrive through disruption in 2022 and beyond, according to Gartner, Inc.'s annual global survey of CIOs and technology executives.



Business composability is the mindset, technologies, and set of operating capabilities that enable organizations to innovate and adapt quickly to changing business needs. It is built on applying the key principle of modularity to business assets to achieve the scale and pace required of business ambition.",https://www.businesswire.com/news/home/20211018005875/en/Gartner-Survey-of-Over-2000-CIOs-Reveals-the-Need-for-Enterprises-to-Embrace-Business-Composability-in-2022,18-10-2021 18:00,tech
25,"Global Spectator Sports Market Report 2021 Featuring FC Barcelona, Dallas Cowboys, Real Madrid, Manchester United, & New York Yankees","Dublin, Oct. 20, 2021 (GLOBE NEWSWIRE) -- The ""Spectator Sports Global Market Opportunities and Strategies to 2030: COVID-19 Impact and Recovery"" report has been added to ResearchAndMarkets.com's offering. The global sports market, of which the spectator sports market is a segment, reached a value of nearly $94,435.9 million in 2020, having declined at -2.1% since 2015. It is expected to grow at a compound annual growth rate (CAGR) of 16.3% to reach nearly $200,878.0 million by 2025. The participatory sports market was the largest segment in the global sports, accounting for 72.",https://www.globenewswire.com/news-release/2021/10/20/2317073/28124/en/Global-Spectator-Sports-Market-Report-2021-Featuring-FC-Barcelona-Dallas-Cowboys-Real-Madrid-Manchester-United-New-York-Yankees.html,20-10-2021 00:00,news
26,"Global $200 Billion Spectator Sports Markets Analysis & Forecasts, 2015-2020 & 2021-2030","DUBLIN, Oct. 20, 2021 /PRNewswire/ -- The ""Spectator Sports Global Market Opportunities and Strategies to 2030: COVID-19 Impact and Recovery"" report has been added to ResearchAndMarkets.com's offering.
The global sports market, of which the spectator sports market is a segment, reached a value of nearly $94,435.9 million in 2020, having declined at -2.1% since 2015. It is expected to grow at a compound annual growth rate (CAGR) of 16.3% to reach nearly $200,878.0 million by 2025. The participatory sports market was the largest segment in the global sports, accounting for 72.",https://www.prnewswire.com/news-releases/global-200-billion-spectator-sports-markets-analysis--forecasts-2015-2020--2021-2030-301404436.html,20-10-2021 11:00,news
27,Spectator Sports Global Market Opportunities and Strategies to 2030: COVID-19 Impact and Recovery,"October 20, 2021 06:47 AM Eastern Daylight Time DUBLIN--(BUSINESS WIRE)--The ""Spectator Sports Global Market Opportunities and Strategies to 2030: COVID-19 Impact and Recovery"" report has been added to ResearchAndMarkets.com's offering.



The global sports market, of which the spectator sports market is a segment, reached a value of nearly $94,435.9 million in 2020, having declined at -2.1% since 2015. It is expected to grow at a compound annual growth rate (CAGR) of 16.3% to reach nearly $200,878.",https://www.businesswire.com/news/home/20211020005539/en/Spectator-Sports-Global-Market-Opportunities-and-Strategies-to-2030-COVID-19-Impact-and-Recovery---ResearchAndMarkets.com,20-10-2021 10:47,news
28,"Global Spectator Sports Market Report 2021 Featuring FC Barcelona, Dallas Cowboys, Real Madrid, Manchester United, & New York Yankees","Dublin, Oct. 20, 2021 (GLOBE NEWSWIRE) -- The ""Spectator Sports Global Market Opportunities and Strategies to 2030: COVID-19 Impact and Recovery"" report has been added to ResearchAndMarkets.com's offering.

The global sports market, of which the spectator sports market is a segment, reached a value of nearly $94,435.9 million in 2020, having declined at -2.1% since 2015. It is expected to grow at a compound annual growth rate (CAGR) of 16.3% to reach nearly $200,878.0 million by 2025. The participatory sports market was the largest segment in the global sports, accounting for 72.",https://finance.yahoo.com/news/global-spectator-sports-market-report-080300130.html,20-10-2021 08:03,news
29,Fosun Sports Group announces new entity to deepen global sports industry footprint,"HONG KONG, Oct. 19, 2021 /PRNewswire/ -- On October 19, 2021, Fosun Sports Group (hereinafter referred to as 'Fosun Sports'), a global pan-sports industry operating group company and subsidiary of Fosun International's happiness segment, announced the formal establishment of Fosun Sports as a holding entity, and the acquisition of core operating assets and management team of Foyo, in games, esports and sports. At the same time, Fosun Sports has received a minority strategic investment from the U.",https://finance.yahoo.com/news/fosun-sports-group-announces-entity-090000050.html,19-10-2021 09:00,gaming
30,Fosun Sports Group announces new entity to deepen global sports industry footprint,"HONG KONG, Oct. 19, 2021 /PRNewswire/ -- On October 19, 2021, Fosun Sports Group (hereinafter referred to as 'Fosun Sports'), a global pan-sports industry operating group company and subsidiary of Fosun International's happiness segment, announced the formal establishment of Fosun Sports as a holding entity, and the acquisition of core operating assets and management team of Foyo, in games, esports and sports. At the same time, Fosun Sports has received a minority strategic investment from the U.",https://www.prnewswire.com/news-releases/fosun-sports-group-announces-new-entity-to-deepen-global-sports-industry-footprint-301403059.html,19-10-2021 09:00,news
31,SBLive Sports Announces Partnership with Sports Illustrated Media Group,"SPOKANE, Wash., Oct. 18, 2021 /PRNewswire/ -- SBLive Sports ( www.scorebooklive.com ), the fastest-growing high school sports media company in the nation, has entered into a partnership with The Arena Group under the fastest-growing sports media property globally, Sports Illustrated Media Group.

SBLive Sports announces partnership with Sports Illustrated Media Group.

After emerging as a leading destination for high school sports fans in California, Texas, Washington, Mississippi, Arkansas, Georgia, Oregon and other states, SBLive Sports is joining the collective vertical of online sports brands anchored by Sports Illustrated , recently ranked No.",https://finance.yahoo.com/news/sblive-sports-announces-partnership-sports-190000317.html,18-10-2021 19:00,gaming
32,FanClub Sports Finally Announces its Long-Awaited Public Launch,"TORONTO and MADRID, Oct. 18, 2021 /PRNewswire/ -- Co-Founders David Mirynech, Mate Kovacs & Brian Leiberman are proud to announce the launch of FanClub Sports (FanClub). 
Headquartered in Toronto, Canada, with offices in Madrid, Spain, FanClub Sports is a sports investment platform and community that democratizes access to investing in pro sports. FanClub provides team owners and limited partners (LPs) with financing and liquidity while giving investors and fans a chance to own professional sports clubs.",https://www.prnewswire.com/news-releases/fanclub-sports-finally-announces-its-long-awaited-public-launch-301401795.html,18-10-2021 15:00,business
33,Sports Innovation Lab Announces Creation of Women's Sports Leadership...,"Sports Innovation Lab's Women's Sports Leadership Board The Women's Sports Leadership Board is a landmark step in the growth of women's sports.

Sports Innovation Lab, a data-driven fan intelligence company, announced today at the 2021 espnW: Women + Sports Summit the formation of the Women's Sports Leadership Board, bringing together leading executives from leagues, media networks, brands, retailers, and other influential properties from across the sports landscape. The board is the first of its kind, specifically dedicated to accelerating the growth and commercialization of women's sports.",https://www.prweb.com/releases/sports_innovation_lab_announces_creation_of_womens_sports_leadership_board_at_espnw_women_sports_summit/prweb18275393.htm,19-10-2021 00:00,tech
34,Global Sports Software (Management) Market Share Projected to Reach USD 13.6 Billion by 2026: Facts & Factors,"New York, NY, Oct. 20, 2021 (GLOBE NEWSWIRE) -- Facts and Factors have published a new research report titled 'Sports Software Market By Deployment Mode (Cloud-Based Deployment & On-Premises Deployment), By Application (Event Management & Scheduling, Team Management, Marketing Management, Client Management, Others), And By Regions - Global & Regional Industry Perspective, Comprehensive Analysis, and Forecast 2021 - 2026' in its research database 'According to the report, the global sports software market was valued at approximately USD 5.",https://www.globenewswire.com/news-release/2021/10/20/2317423/0/en/Global-Sports-Software-Management-Market-Share-Projected-to-Reach-USD-13-6-Billion-by-2026-Facts-Factors.html,20-10-2021 00:00,news
35,Insights on the Sports Mouthguard Global Market to 2028,"DUBLIN, Oct. 21, 2021 /PRNewswire/ --The ""Global Sports Mouthguard Market Forecast to 2028 - COVID-19 Impact and Global Analysis By Product (Stock Mouthguard, Boil and Bite Mouthguard, Custom Made Mouthguard, Smart Mouthguards); Distribution Channel (Offline, Online), and Geography"" report has been added to ResearchAndMarkets.com's offering. 
The sports mouthguard market is expected to reach US$ 4,958.90 million by 2028 from US$ 2,419.89 million in 2021; it is estimated to grow at a CAGR of 10.8% from 2021 to 2028.",https://www.prnewswire.com/news-releases/insights-on-the-sports-mouthguard-global-market-to-2028---by-product-distribution-channel-and-geography-301405683.html,21-10-2021 15:45,news
36,Ensuring Community Sports Programs Survive and Keeping Your Kids Active,"Olympic Gold Medalist Benita Fitzgerald Mosley Discusses the Importance of Organized Sports for Every Kid, Family and Community

New York, New York --News Direct-- YourUpdateTV

Similar to so many other small business owners (restaurants, shops and other local services), the leaders running youth sports programs have faced an evolving multitude of challenges over the past 20 months as the pandemic continues to impact both the programs and the kids they serve. Recently, Olympic Gold Medalist Benita Fitzgerald Mosley participated in a nationwide satellite media tour to discuss the importance of organized sports for every kid, family and community.",https://finance.yahoo.com/news/ensuring-community-sports-programs-survive-154000821.html,22-10-2021 15:40,news
37,"First sports equinox arrives: NFL, NBA, MLB, NHL all play in October after thrilling WNBA Finals","The holiday season is fast approaching, but for sports fans, it's already the most wonderful time of the year. October means the sports calendar is in full swing. The WNBA recently wrapped a thrilling final on Sunday. Major League Baseball is completing its pennant races ahead of the World Series starting next week. The NHL returned last week and the NBA returned to its normal calendar with teams opening this week. The college football season is halfway through and the NFL rolls on with Week 7.  With these sports all aligning on Thursday, the phenomenon known as ""sports equinox"" has arrived.",https://www.usatoday.com/story/sports/2021/10/21/sports-equinox-2021-nba-nfl-mlb-nhl/8537655002/,21-10-2021 10:06,news
38,Online sports betting launches in Connecticut on Tuesday,"Wannabe Massachusetts sports bettors now have a new state border they can cross to place a bet using their phone, as Connecticut launched online wagering Tuesday both for sports betting and casino games.The Massachusetts Legislature is still hashing out potential sports betting legislation with no bill expected to be sent out in the immediate future.DraftKings is partnering with Foxwoods Resort Casino, FanDuel with Mohegan Sun and PlaySugarHouse with the state lottery. Now, anyone 21 years or older can drive into the Nutmeg State and place a sports bet or play some blackjack by the side of the road.",https://www.bostonglobe.com/2021/10/19/sports/online-sports-betting-launches-connecticut-tuesday/,19-10-2021 17:25,news
39,Global Sports Mouthguard Market (2021 to 2028),"Dublin, Oct. 21, 2021 (GLOBE NEWSWIRE) -- The ""Global Sports Mouthguard Market Forecast to 2028 - COVID-19 Impact and Global Analysis By Product (Stock Mouthguard, Boil and Bite Mouthguard, Custom Made Mouthguard, Smart Mouthguards); Distribution Channel (Offline, Online), and Geography"" report has been added to ResearchAndMarkets.com's offering. The sports mouthguard market is expected to reach US$ 4,958.90 million by 2028 from US$ 2,419.89 million in 2021; it is estimated to grow at a CAGR of 10.",https://www.globenewswire.com/news-release/2021/10/21/2318117/28124/en/Global-Sports-Mouthguard-Market-2021-to-2028-Featuring-Shock-Doctor-MOGO-Sport-and-Brain-Pad-Among-Others.html,21-10-2021 00:00,news
40,SBLive Sports Announces Partnership with Sports Illustrated Media Group,"After emerging as a leading destination for high school sports fans in California, Texas, Washington, Mississippi, Arkansas, Georgia, Oregon and other states, SBLive Sports is joining the collective vertical of online sports brands anchored by Sports Illustrated, recently ranked No. 6 across Comscore sports media with more than 42 million monthly users.

SBLive's original content includes national football and basketball rankings, athlete of the week features across more than a dozen states, podcasts, player profiles and more.",https://www.prnewswire.com/news-releases/sblive-sports-announces-partnership-with-sports-illustrated-media-group-301402536.html,18-10-2021 19:00,business
41,Amendment stresses physical education,"By Sun Xiaochen | China Daily | Updated: 2021-10-20 09:44 Share - WeChat Pupils run on the playground at a primary school in Longnan city, Northwest China's Gansu province, on Aug 31, 2020. [Photo/Xinhua] An amendment to China's sports law that emphasizes physical education, the sports industry and combating doping is expected to help the country further develop into an international sports power. The draft revision of the Law on Physical Culture and Sports, which was submitted to China's top legislature on Tuesday for first review, outlines updated requirements for guaranteeing enough sports participation by students on campuses, measures to promote the balanced development of the sports industry and new measures to prevent doping in sports.",https://www.chinadaily.com.cn/a/202110/20/WS616f7494a310cdd39bc7004d.html,20-10-2021 02:30,news
42,Global Sports Mouthguard Market (2021 to 2028),"Dublin, Oct. 21, 2021 (GLOBE NEWSWIRE) -- The ""Global Sports Mouthguard Market Forecast to 2028 - COVID-19 Impact and Global Analysis By Product (Stock Mouthguard, Boil and Bite Mouthguard, Custom Made Mouthguard, Smart Mouthguards); Distribution Channel (Offline, Online), and Geography"" report has been added to ResearchAndMarkets.com's offering.



The sports mouthguard market is expected to reach US$ 4,958.90 million by 2028 from US$ 2,419.89 million in 2021; it is estimated to grow at a CAGR of 10.",https://finance.yahoo.com/news/global-sports-mouthguard-market-2021-101300067.html,21-10-2021 10:13,news
43,Worldwide Sports Mouthguard Industry to 2028,"October 21, 2021 09:18 AM Eastern Daylight Time DUBLIN--(BUSINESS WIRE)--The ""Global Sports Mouthguard Market Forecast to 2028 - COVID-19 Impact and Global Analysis By Product (Stock Mouthguard, Boil and Bite Mouthguard, Custom Made Mouthguard, Smart Mouthguards); Distribution Channel (Offline, Online), and Geography"" report has been added to ResearchAndMarkets.com's offering.



The sports mouthguard market is expected to reach US$ 4,958.90 million by 2028 from US$ 2,419.89 million in 2021; it is estimated to grow at a CAGR of 10.",https://www.businesswire.com/news/home/20211021005656/en/Worldwide-Sports-Mouthguard-Industry-to-2028---Rising-Number-of-Sports-Clubs-and-Leagues-Across-Globe-Presents-Opportunities---ResearchAndMarkets.com,21-10-2021 13:18,business
44,Youth Enrichment Brands Launches With Acquisition of i9 Sports®,"SAN RAFAEL, Calif.--(BUSINESS WIRE)--Oct 19, 2021--Youth Enrichment Brands, a new platform of leading youth activities brands, launched today following the acquisition of i9 Sports.Youth Enrichment Brands is the nation's leading youth activities company, offering camps, leagues, clinics, and other programs that annually serve more than 600,000 kids ranging from 2 to 18 years old. Backed by Atlanta-based Roark Capital, Youth Enrichment Brands encompasses US Sports Camps, the official provider of Nike Sports Camps, i9 Sports, the nation's largest youth sports league franchisor, and U.",https://www.businesswire.com/news/home/20211019005388/en/,19-10-2021 13:02,news
45,Another fantasy sports betting firm gets Louisiana license,"BATON ROUGE, La. (AP) — A second company is receiving a state license to run fantasy sports betting operations in the nearly three-quarters of Louisiana parishes where voters authorized the activity.The Louisiana Gaming Control Board voted unanimously Thursday for FanDuel to join DraftKings in launching fantasy sports contests in the 47 parishes allowed to have the gaming after the November 2018 election outcome. In fantasy sports, people create imaginary teams of real-life sports players and score points based on how those players perform in actual games.",https://www.chron.com/news/article/Another-fantasy-sports-betting-firm-gets-16552349.php,21-10-2021 19:21,news
46,Chelsea vs Liverpool on Sky Sports as festive TV dates announced,Tuesday November 3019:30 Newcastle v Norwich (Amazon Prime) 20:15 Leeds v Crystal Palace (Amazon Prime)Wednesday December 1 19:30 Southampton v Leicester (Amazon Prime)19:30 Watford v Chelsea (Amazon Prime)19:30 West Ham v Brighton (Amazon Prime)19:30 Wolves v Burnley (Amazon Prime)20:15 Aston Villa v Man City (Amazon Prime)20:15 Everton v Liverpool (Amazon Prime)Thursday December 2 19:30 Spurs v Brentford (Amazon Prime) 20:15 Man Utd v Arsenal (Amazon Prime)Saturday December 412:30 West Ham v C,https://www.dailymail.co.uk/sport/football/article-10104167/Chelsea-vs-Liverpool-January-2-shown-Sky-Sports-festive-TV-schedule-revealed.html,18-10-2021 15:15,sport
47,Every first-year FBS head coach's record at mid-season,"Bryan Harsin's culture has started to take root at Auburn.
The talk of 'getting better every week' and 'being 1-0' wasn't beginning to become stale and following the Georgia State game, there were some fans that were disgruntled with the product Auburn was putting out on the field. Just a few weeks later, Harsin still has his team in contention for the SEC West title and a potential trip to Atlanta for the SEC Championship still on the table.
Auburn currently sits at 5-2 and No. 19 in the week seven AP top 25 poll.",https://auburnwire.usatoday.com/lists/every-first-year-fbs-head-coachs-record-at-mid-season/,17-10-2021 18:00,news
48,Another fantasy sports betting firm gets Louisiana license,"BATON ROUGE, La. (AP) — A second company is receiving a state license to run fantasy sports betting operations in the nearly three-quarters of Louisiana parishes where voters authorized the activity.The Louisiana Gaming Control Board voted unanimously Thursday for FanDuel to join DraftKings in launching fantasy sports contests in the 47 parishes allowed to have the gaming after the November 2018 election outcome. In fantasy sports, people create imaginary teams of real-life sports players and score points based on how those players perform in actual games.",https://www.sfgate.com/news/article/Another-fantasy-sports-betting-firm-gets-16552349.php,21-10-2021 19:21,news
